article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
75,business/2022/dec/02/half-a-million-vulnerable-households-miss-out-on-help-with-energy-bills,https://www.theguardian.com/business/2022/dec/02/half-a-million-vulnerable-households-miss-out-on-help-with-energy-bills,Half a million vulnerable households miss out on help with energy bills,yes,0.7391,0.3094
76,society/2023/nov/01/pig-heart-transplant-faucette-dies,https://www.theguardian.com/society/2023/nov/01/pig-heart-transplant-faucette-dies,World’s second human recipient of pig heart dies six weeks after operation,yes,0.4282,0.2828
77,world/2025/mar/06/thursday-briefing-what-a-new-report-reveals-about-the-mothers-being-killed-by-their-sons,https://www.theguardian.com/world/2025/mar/06/thursday-briefing-what-a-new-report-reveals-about-the-mothers-being-killed-by-their-sons,Thursday briefing: What a new report reveals about the mothers being killed by their sons,yes,0.3604,0.2782
78,news/2025/jan/09/victor-pelevin-the-mysterious-novelist-who-foresaw-putins-russia-and-then-came-to-symbolise-its-moral-decay,https://www.theguardian.com/news/2025/jan/09/victor-pelevin-the-mysterious-novelist-who-foresaw-putins-russia-and-then-came-to-symbolise-its-moral-decay,The mysterious novelist who foresaw Putin’s Russia – and then came to symbolise its moral decay,yes,0.4085,0.148
79,media/2023/may/19/death-of-masterchef-judge-jock-zonfrillo-sparks-frenzy-of-tabloid-intrusion,https://www.theguardian.com/media/2023/may/19/death-of-masterchef-judge-jock-zonfrillo-sparks-frenzy-of-tabloid-intrusion,Death of MasterChef judge Jock Zonfrillo sparks frenzy of tabloid intrusion | Weekly Beast,yes,0.5198,0.1801
80,us-news/2024/apr/21/trump-vp-pick-shortlist,https://www.theguardian.com/us-news/2024/apr/21/trump-vp-pick-shortlist,Who will Trump pick as his 2024 running mate? A VP shortlist,yes,0.9991,0.329
81,environment/2024/mar/02/wwf-shelved-report-exposing-river-wye-pollution-to-keep-tesco-happy,https://www.theguardian.com/environment/2024/mar/02/wwf-shelved-report-exposing-river-wye-pollution-to-keep-tesco-happy,WWF shelved report exposing River Wye pollution ‘to keep Tesco happy’,yes,0.5832,0.5397
82,australia-news/2024/apr/26/leave-politics-to-the-politicians-why-rural-queensland-is-a-hotbed-of-renewable-energy,https://www.theguardian.com/australia-news/2024/apr/26/leave-politics-to-the-politicians-why-rural-queensland-is-a-hotbed-of-renewable-energy,‘Leave politics to the politicians’: why rural Queensland is a hotbed of renewable energy,yes,0.7572,0.5083
83,media/2023/mar/03/the-australian-finds-super-victims-among-sydneys-well-heeled-or-is-it-satire,https://www.theguardian.com/media/2023/mar/03/the-australian-finds-super-victims-among-sydneys-well-heeled-or-is-it-satire,The Australian finds super ‘victims’ among Sydney’s well-heeled – or is it satire? | Weekly Beast,yes,0.765,0.1245
84,australia-news/2023/jan/31/alan-tudge-former-adviser-rachelle-miller-robodebt-royal-commission,https://www.theguardian.com/australia-news/2023/jan/31/alan-tudge-former-adviser-rachelle-miller-robodebt-royal-commission,"Alan Tudge’s adviser placed stories in ‘friendly media’ to ‘shut down’ robodebt scandal, royal commission told",yes,0.9984,0.2288
